Mineral name,Chemical formula,Subgroup,Group,Machine readable formula, Elemental wt%,Oxide wt%
sulphohalite,Na6(SO4)2FCl,perovskite group,sulfate,"[['Na', 6, 1], ['S', 2, 6], ['O', 8, -2], ['F', 1, 1], ['Cl', 1, 1]]","{'Na': 35.87, 'S': 16.68, 'O': 33.29, 'F': 4.94, 'Cl': 9.22}","{'Na2O': 48.36, 'SO3': 41.64, 'Cl': 7,14, 'F': 2.86}"
fluorite,CaF2,fluorite group,halide,"[['Ca', 1, 2], ['F', 2, -1]]","{'Ca': 51.33, 'F': 48.67}",
cryolithionite,Na3Al2(LiF4)3,garnet group,halide,"[['Na', 3, 3], ['Al', 2, 3], ['Li', 3, 1], ['F', 12, -1]]","{'Na': 18.55, 'Al': 14.52, 'Li': 5.6, 'F': 61.33}",
halite,NaCl,halite group,halide,"[['Na', 1, 1], ['Cl', 1, -1]]","{'Na': 39.34, 'Cl': 60.66}",
griceite,LiF,halite group,halide,"[['Li', 1, 1], ['F', 1, -1]]","{'Li': 26.76, 'F': 73.24}",
sylvite,KCl,halite group,halide,"[['K', 1, 1], ['Cl', 1, -1]]","{'K': 52.45, 'Cl': 47.55}",
villiaumite,NaF,halite group,halide,"[['Na', 1, 1], ['F', 1, -1]]","{'Na': 54.75, 'F': 45.25}",
chlorocalcite,KCaCl3,perovskite group,halide,"[['K', 1, 1], ['Ca', 1, 2], ['Cl', 3, -1]]","{'K': 21.07, 'Ca': 21.6, 'Cl': 57.32}",
mottramite,PbCu(VO4)(OH),adelite-descloizite group,vanadate,"[['Pb', 1, 2], ['Cu', 1, 2], ['V', 1, 5], ['O', 5, -2], ['H', 1, 1]]","{'Pb': 51.45, 'Cu': 15.78, 'V': 12.65, 'O': 19.87, 'H': 0.25}","{'PbO': 55.42, 'CuO': 19.75, 'V2O5': 22.58, 'H2O': 2.24}"
vanadinite,Pb5(VO4)3Cl,apatite group,vanadate,"[['Pb', 5, 2], ['V', 3, 5], ['O', 12, -2], ['Cl', 1, 1]]","{'Pb': 73.15, 'V': 10.79, 'O': 13.56, 'Cl': 2.5}","{'PbO': 78.80, 'V2O5': 19.26, 'Cl': 2}"
