Mineral name,Chemical formula,Subgroup,Group,Machine readable formula, Elemental wt%,Oxide wt%
latrappite,Ca2NbFe3+O6,perovskite group,oxide,"[['Ca', 2, 2], ['Nb', 1, 5], ['Fe', 1, 3], ['O', 6, -2]]","{'Ca': 24.67, 'Nb': 28.59, 'Fe': 17.19, 'O': 29.55}","{'CaO': 34.52, 'Nb2O5': 40.90, 'Fe2O3':24.58}"
pseudobrookite,Fe2TiO5,pseudobrookite group,oxide,"[['Fe', 2, 3], ['Ti', 1, 4], ['O', 5, -2]]","{'Fe': 46.62, 'Ti': 19.98, 'O': 33.39}","{'Fe2O3': 66.5, 'TiO2': 33.3}"
rutile,TiO2,rutile group,oxide,"[['Ti', 1, 4], ['O', 2, -2]]","{'Ti': 59.93, 'O': 40.07}",{'TiO2': 100.00}
cassiterite,SnO2,rutile group,oxide,"[['Sn', 1, 4], ['O', 2, -2]]","{'Sn': 78.77, 'O': 21.23}",{'SnO2': 100.00}
pyrolusite,Mn4+O2,rutile group,oxide,"[['Mn', 1, 4], ['O', 2, -2]]","{'Mn': 63.19, 'O': 36.81}",{'MnO2': 100.00}
coulsonite,Fe2+V3+2O4,spinel group,oxide,"[['Fe', 1, 2], ['V', 2, 3], ['O', 4, -2]]","{'Fe': 25.19, 'V': 45.95, 'O': 28.86}","{'V2O3': 67.60, 'FeO':32.40}"
franklinite,Zn2+Fe3+2O4,spinel group,oxide,"[['Zn', 1, 2], ['Fe', 2, 3], ['O', 4, -2]]","{'Zn': 27.12, 'Fe': 46.33, 'O': 26.55}","{'Fe2O3': 66.24, 'ZnO':33.76}"
galaxite,Mn2+Al2O4,spinel group,oxide,"[['Mn', 1, 2], ['Al', 2, 3], ['O', 4, -2]]","{'Mn': 31.77, 'Al': 31.21, 'O': 37.02}","{'Al2O3': 58.97, 'MnO': 41.02 }"
hausmannite,Mn2+Mn3+2O4,spinel group,oxide,"[['Mn', 1, 2], ['Mn', 2, 3], ['O', 4, -2]]","{'Mn': 48.02, 'O': 27.97}",{'Mn2O3': 100.00}
magnesiochromite,MgCr2O4,spinel group,oxide,"[['Mg', 1, 2], ['Cr', 2, 3], ['O', 4, -2]]","{'Mg': 12.64, 'Cr': 54.08, 'O': 33.28}","{'MgO': 20.96, 'Cr2O3': 79.04}"
zincochromite,ZnCr2O4,spinel group,oxide,"[['Zn', 1, 2], ['Cr', 2, 3], ['O', 4, -2]]","{'Zn': 28.02, 'Cr': 44.56, 'O': 27.42}","{'ZnO': 34.87, 'Cr2O3': 65.13}"
hetaerolite,ZnMn2O4,spinel group,oxide,"[['Zn', 1, 2], ['Mn', 2, 3], ['O', 4, -2]]","{'Zn': 27.33, 'Mn': 45.92, 'O': 26.75}","{'ZnO': 34.02, 'Mn2O3': 65.98}"
spinel ,MgAl2O4,spinel group ,oxide,"[['Mg', 1, 2], ['Al', 2, 3], ['O', 4, -2]]","{'Mg': 17.08, 'Al': 37.93, 'O': 44.99}","{'MgO': 28.33, 'Al2O3': 71.67}"
chromite,Fe2+Cr2O4,spinel group ,oxide,"[['Fe', 1, 2], ['Cr', 2, 3], ['O', 4, -2]]","{'Fe': 24.95, 'Cr': 46.46, 'O': 28.59}","{'FeO': 32.10, 'Cr2O3': 67.90}"
magnetite,Fe2+Fe3+2O4,spinel group ,oxide,"[['Fe', 1, 2], ['Fe', 2, 3], ['O', 4, -2]]","{'Fe': 48.24, 'O': 27.64}","{'FeO': 31.03, 'Fe2O3': 68.97}"
hercynite,Fe2+Al2O4,spinel group ,oxide,"[['Fe', 1, 2], ['Al', 2, 3], ['O', 4, -2]]","{'Fe': 32.13, 'Al': 31.05, 'O': 36.82}","{'FeO': 41.34, 'Al2O3': 58.66}"
jacobsite,Mn2+Fe3+2O4,spinel group ,oxide,"[['Mn', 1, 2], ['Fe', 2, 3], ['O', 4, -2]]","{'Mn': 23.82, 'Fe': 48.43, 'O': 27.75}","{'MnO': 30.76, 'Fe2O3': 69.24}"
gahnite,ZnAl2O4,spinel group ,oxide,"[['Zn', 1, 2], ['Al', 2, 3], ['O', 4, -2]]","{'Zn': 35.66, 'Al': 29.43, 'O': 34.91}","{'ZnO': 44.39, 'Al2O3': 55.61}"
trevorite,Ni2+Fe3+2O4,spinel group ,oxide,"[['Ni', 1, 2], ['Fe', 2, 3], ['O', 4, -2]]","{'Ni': 25.04, 'Fe': 47.65, 'O': 27.31}","{'NiO': 31.87, 'Fe2O3': 68.13}"
ulvöspinel,TiFe2+2O4,ulvöspinel group ,oxide,"[['Ti', 1, 4], ['Fe', 2, 2], ['O', 4, -2]]","{'Ti': 21.41, 'Fe': 49.96, 'O': 28.63}","{'TiO2': 35.73, 'FeO': 64.27}"
uraninite,UO2,uraninite group,oxide,"[['U', 1, 4], ['O', 2, -2]]","{'U': 88.15, 'O': 11.85}",{'UO2': 100.00}
allanite-(Ce) ,(CaCe)(Al2Fe2+)(SiO4)3(OH),epidote group,sorosilicate,"[['Ca', 1, 2], ['Ce', 1, 3], ['Al', 2, 3], ['Fe', 1, 2], ['Si', 3, 4], ['O', 13, -2], ['H', 1, 1]]","{'Ca': 6.87, 'Ce': 24.02, 'Al': 9.25, 'Fe': 9.57, 'Si': 14.45, 'O': 35.66, 'H': 0.17}","{'CaO': 9.61, 'FeO': 12.31, 'Al2O3': 17.48, 'Ce2O3': 28.13, 'SiO2': 30.91, 'H2O': 1.52}"
allanite-(La),(CaLa)(Al2Fe2+)(SiO4)3(OH),epidote group,sorosilicate,"[['Ca', 1, 2], ['La', 1, 3], ['Al', 2, 3], ['Fe', 1, 2], ['Si', 3, 4], ['O', 13, -2], ['H', 1, 1]]","{'Ca': 6.89, 'La': 23.87, 'Al': 9.27, 'Fe': 9.59, 'Si': 14.48, 'O': 35.74, 'H': 0.17}","{'CaO': 9.64, 'FeO': 12.34, 'Al2O3': 17.52, 'La2O3': 27.99, 'SiO2': 30.98, 'H2O': 1.52}"
allanite-(Y),(CaY)(Al2Fe2+)(SiO4)3(OH),epidote group,sorosilicate,"[['Ca', 1, 2], ['Y', 1, 3], ['Al', 2, 3], ['Fe', 1, 2], ['Si', 3, 4], ['O', 13, -2], ['H', 1, 1]]","{'Ca': 7.53, 'Y': 16.71, 'Al': 10.14, 'Fe': 10.5, 'Si': 15.84, 'O': 39.09, 'H': 0.19}","{'CaO': 10.54, 'FeO': 13.51, 'Al2O3': 19.16, 'Y2O3': 21.22, 'SiO2': 33.88, 'H2O': 1.70}"
epidote,Ca2(Al2Fe3+)[Si2O7][SiO4]O(OH),epidote group,sorosilicate,"[['Ca', 2, 2], ['Al', 0.75, 3], ['Fe', 2.25, 3], ['Si', 3, 4], ['O', 13, -2], ['H', 1, 1]]","{'Ca': 15.44, 'Al': 3.9, 'Fe': 24.2, 'Si': 16.22, 'O': 40.5, 'H': 0.19}","{'CaO': 21.60, 'Al2O3': 7.36, 'Fe2O3': 34.60, 'SiO2': 34.71, 'H2O': 1.73}"
clinozoisite,Ca2Al3[Si2O7][SiO4]O(OH),epidote group,sorosilicate,"[['Ca', 2, 2], ['Al', 3, 3], ['Si', 3, 4], ['O', 13, -2], ['H', 1, 1]]","{'Ca': 17.64, 'Al': 17.82, 'Si': 18.54, 'O': 45.78, 'H': 0.22}","{'CaO': 24.68, 'Al2O3': 33.66, 'SiO2': 39.67, 'H2O': 1.98}"
lawsonite,CaAl2(Si2O7)(OH)2·H2O,lawsonite group,sorosilicate,"[['Ca', 1, 2], ['Al', 2, 3], ['Si', 2, 4], ['O', 10, -2], ['H', 4, 1]]","{'Ca': 12.75, 'Al': 17.17, 'Si': 17.87, 'O': 50.92, 'H': 1.28}","{'CaO': 17.85, 'Al2O3': 32.45, 'SiO2': 38.24, 'H2O': 11.47}"
ilvaite,CaFe3+Fe2+2O(Si2O7)(OH),lawsonite group,sorosilicate,"[['Ca', 1, 2], ['Fe', 1, 3], ['Fe', 2, 2], ['Si', 2, 4], ['O', 9, -2], ['H', 1, 1]]","{'Ca': 9.8, 'Fe': 40.98 'Si': 13.74, 'O': 35.23, 'H': 0.25}","{'CaO': 13.72, 'FeO': 35.15, 'Fe2O3': 19.53, 'SiO2': 29.30, 'H2O': 2.20}"
Åkermanite,Ca2Mg[Si2O7],melilite group,sorosilicate,"[['Ca', 2, 2], ['Mg', 1, 2], ['Si', 2, 4], ['O', 7, -2]]","{'Ca': 29.4, 'Mg': 8.91, 'Si': 20.6, 'O': 41.08}","{'CaO': 41.14, 'MgO': 14.78, 'SiO2': 44.08}"
gehlenite,Ca2Al(SiAl)O7,melilite group,sorosilicate,"[['Ca', 2, 2], ['Al', 2, 3], ['Si', 1, 4], ['O', 7, -2]]","{'Ca': 29.23, 'Al': 19.68, 'Si': 10.24, 'O': 40.85}","{'CaO': 40.90, 'Al2O3': 37.18, 'SiO2': 21.91}"
barylite,Be2Ba(Si2O7),nan,sorosilicate,"[['Be', 2, 2], ['Ba', 1, 2], ['Si', 1, 4], ['O', 7, -2]]","{'Be': 6.1, 'Ba': 46.48, 'Si': 9.51, 'O': 37.91}","{'BeO': 18.99, 'BaO': 58.20, 'SiO2': 22.81}"
benitoite,BaTiSi3O9,benitoite group,cyclosilicate,"[['Ba', 1, 2], ['Ti', 1, 4], ['Si', 3, 4], ['O', 9, -2]]","{'Ba': 33.22, 'Ti': 11.58, 'Si': 20.38, 'O': 34.83}","{'BaO': 37.08, 'SiO2': 43.60, 'TiO2': 19.32}"
pabstite,BaSnSi3O9,benitoite group,cyclosilicate,"[['Ba', 1, 2], ['Sn', 1, 4], ['Si', 3, 4], ['O', 9, -2]]","{'Ba': 28.36, 'Sn': 24.51, 'Si': 17.4, 'O': 29.73}","{'BaO': 31.66, 'SiO2': 37.22, 'SnO2': 31.12}"
wadeite,K2ZrSi3O9,benitoite group,cyclosilicate,"[['K', 2, 1], ['Zr', 1, 4], ['Si', 3, 4], ['O', 9, -2]]","{'K': 19.66, 'Zr': 22.94, 'Si': 21.19, 'O': 36.21}","{'K2O': 23.69, 'ZrO2': 30.99, 'SiO2': 45.33}"
bazirite,BaZrSi3O9,benitoite group,cyclosilicate,"[['Ba', 1, 2], ['Zr', 1, 4], ['Si', 3, 4], ['O', 9, -2]]","{'Ba': 30.06, 'Zr': 19.97, 'Si': 18.44, 'O': 31.52}","{'K2O': 23.69, 'ZrO2': 30.99, 'SiO2': 45.33}"
beryl,Be3Al2(Si6O18),beryl group,cyclosilicate,"[['Be', 3, 2], ['Al', 2, 3], ['Si', 6, 4], ['O', 18, -2]]","{'Be': 5.03, 'Al': 10.04, 'Si': 31.35, 'O': 53.58}","{'BeO': 13.96, 'Al2O3': 18.97, 'SiO2': 67.07}"
avdeevite,NaAl4(Be5Li)(Si6O18)2(H2O),beryl group,cyclosilicate,"[['Na', 1, 1], ['Al', 4, 3], ['Be', 5, 2], ['Li', 1, 1], ['Si', 12, 4], ['O', 37, -2], ['H', 2, 1]]","{'Na': 2.06, 'Al': 9.69, 'Be': 4.05, 'Li': 0.62, 'Si': 30.25, 'O': 53.14, 'H': 0.18}","{'NaO': 2.78, 'Al2O3': 18.31, 'BeO': 11.24, 'SiO2': 64.72, 'Li2O': 1.33, 'H2O': 1.61}"
bazzite,Be3Sc2(Si6O18),beryl group,cyclosilicate,"[['Be', 3, 2], ['Sc', 2, 3], ['Si', 6, 4], ['O', 18, -2]]","{'Be': 4.71, 'Sc': 15.68, 'Si': 29.38, 'O': 50.22}","{'BeO': 13.08, 'Sc2O3': 24.06, 'SiO2': 62.87}"
pezzottaite,CsLiBe2Al2Si6O18,beryl group,cyclosilicate,"[['Cs', 1, 1], ['Li', 1, 1], ['Be', 2, 2], ['Al', 2, 3], ['Si', 6, 4], ['O', 18, -2]]","{'Cs': 19.89, 'Li': 1.04, 'Be': 2.7, 'Al': 8.07, 'Si': 25.21, 'O': 43.09}","{'BeO': 7.49, 'Al2O3': 15.25, 'SiO2': 53.93, 'Cs2O': 21.09, 'Li2O': 2.24}"
stoppaniite,Be3Fe3+2(Si6O18)(H2O),beryl group,cyclosilicate,"[['Be', 3, 2], ['Fe', 2, 3], ['Si', 6, 4], ['O', 19, -2], ['H', 2, 1]]","{'Be': 4.41, 'Fe': 18.21, 'Si': 27.48, 'O': 49.57, 'H': 0.33}","{'BeO': 12.24, 'Fe2O3': 26.03, 'SiO2': 58.78, 'H2O': 2.95}"
cordierite,Mg2Al4Si5O18,nan,cyclosilicate,"[['Mg', 2, 2], ['Al', 4, 3], ['Si', 5, 4], ['O', 18, -2]]","{'Mg': 8.31, 'Al': 18.45, 'Si': 24.01, 'O': 49.23}","{'MgO': 13.78, 'Al2O3': 34.86, 'SiO2': 51.36}"
sekaninaite,Fe2+2Al4Si5O18,nan,cyclosilicate,"[['Fe', 2, 2], ['Al', 4, 3], ['Si', 5, 4], ['O', 18, -2]]","{'Fe': 17.23, 'Al': 16.65, 'Si': 21.67, 'O': 44.44}","{'FeO': 22.17, 'Al2O3': 31.47, 'SiO2': 46.36}"
schorl,NaFe2+3Al6(Si6O18)(BO3)3(OH)3(OH),tourmaline group,cyclosilicate,"[['Na', 1, 1], ['Fe', 3, 2], ['Al', 6, 3], ['Si', 6, 4], ['O', 31, -2], ['B', 3, 3], ['H', 4, 1]]","{'Na': 2.18, 'Fe': 15.9, 'Al': 15.37, 'Si': 16.0, 'O': 47.09, 'B': 3.08, 'H': 0.38}","{'NaO': 2.94, 'Al2O3': 29.04, 'FeO': 20.46, 'SiO2': 34.22, 'B2O3': 9.91, 'H2O': 3.42}"
dravite,NaMg3Al6(Si6O18)(BO3)3(OH)3(OH),tourmaline group,cyclosilicate,"[['Na', 1, 1], ['Mg', 3, 2], ['Al', 6, 3], ['Si', 6, 4], ['O', 31, -2], ['B', 3, 3], ['H', 4, 1]]","{'Na': 2.4, 'Mg': 7.61, 'Al': 16.89, 'Si': 17.58, 'O': 51.73, 'B': 3.38, 'H': 0.42}","{'NaO': 3.23, 'Al2O3': 31.90, 'MgO': 12.61, 'SiO2': 37.60, 'B2O3': 10.89, 'H2O': 3.76}"
elbaite,Na(Al1.5Li1.5)Al6(Si6O18)(BO3)3(OH)3(OH),tourmaline group,cyclosilicate,"[['Na', 1, 1], ['Li', 2.5, 1], ['Al', 6.5, 3], ['Si', 6, 4], ['O', 31, -2], ['B', 3, 3], ['H', 4, 1]]","{'Na': 2.45, 'Li': 1.89, 'Al': 19.13, 'Si': 18.38, 'O': 54.11, 'B': 3.54, 'H': 0.43}","{'NaO': 3.38, 'Al2O3': 36.83, 'Li2O': 4.15, 'SiO2': 40.08, 'B2O3': 11.63, 'H2O': 3.93}"
fluor-liddicoatite,Ca(Li2Al)Al6(Si6O18)(BO3)3(OH)3F,tourmaline group,cyclosilicate,"[['Ca', 1, 2], ['Li', 2, 1], ['Al', 7, 3], ['Si', 6, 4], ['O', 28, -2], ['B', 3, 3], ['H', 1, 1], ['F', 3, 1]]","{'Ca': 4.22, 'Li': 1.46, 'Al': 19.89, 'Si': 17.74, 'O': 47.17, 'B': 3.41, 'H': 0.11, 'F': 6.0}","{'CaO': 5.76, 'Al2O3': 36.65, 'Li2O': 3.07, 'SiO2': 37.01, 'B2O3': 10.71, 'H2O': 0.96, 'F': 5.85}"
fluor-buergerite,NaFe3+3Al6(Si6O18)(BO3)3O3F,tourmaline group,cyclosilicate,"[['Na', 1, 1], ['Fe', 3, 3], ['Al', 6, 3], ['Si', 6, 4], ['O', 30, -2], ['B', 3, 3], ['F', 1, 1]]","{'Na': 2.18, 'Fe': 15.92, 'Al': 15.38, 'Si': 16.01, 'O': 45.61, 'B': 3.08, 'F': 1.81}","{'Na2O': 2.92, 'Al2O3': 28.85, 'Fe2O3': 22.59, 'SiO2': 34.00, 'B2O3': 9.85, 'H2O': 1.80}"
foitite,(Fe2+2Al)Al6(Si6O18)(BO3)3(OH)3(OH),tourmaline group,cyclosilicate,"[['Fe', 2, 2], ['Al', 7, 3], ['Si', 6, 4], ['O', 31, -2], ['B', 3, 3], ['H', 4, 1]]","{'Fe': 11.15, 'Al': 18.86, 'Si': 16.83, 'O': 49.52, 'B': 3.24, 'H': 0.4}","{'FeO': 14.35, 'Al2O3': 35.64, 'SiO2': 36.01, 'B2O3': 10.43, 'H2O': 3.57}"
adachiite,CaFe3Al6(Si5AlO18)(BO3)3(OH)3(OH),tourmaline group,cyclosilicate,"[['Ca', 1, 2], ['Fe', 3, 2], ['Al', 7, 3], ['Si', 5, 4], ['O', 31, -2], ['B', 3, 3], ['H', 4, 1]]","{'Ca': 3.75, 'Fe': 15.67, 'Al': 17.66, 'Si': 13.13, 'O': 46.38, 'B': 3.03, 'H': 0.38}","{'CaO': 5.25, 'FeO': 20.16, 'Al2O3': 33.36, 'SiO2': 28.08, 'B2O3': 9.76, 'H2O': 3.40}"
rossmanite,(Al2Li)Al6(Si6O18)(BO3)3(OH)3(OH),tourmaline group,cyclosilicate,"[['Li', 1, 1], ['Al', 8, 3], ['Si', 6, 4], ['O', 31, -2], ['B', 3, 3], ['H', 4, 1]]","{'Li': 0.75, 'Al': 23.37, 'Si': 18.24, 'O': 53.69, 'B': 3.51, 'H': 0.44}","{'Al2O3': 44.15, 'Li2O': 1.62, 'SiO2': 39.03, 'B2O3': 11.30, 'H2O': 3.90}"
celleriite,(Mn2+2Al)Al6(Si6O18)(BO3)3(OH)3(OH),tourmaline group,cyclosilicate,"[['Mn', 2, 2], ['Al', 7, 3], ['Si', 6, 4], ['O', 31, -2], ['B', 3, 3], ['H', 4, 1]]","{'Mn': 10.99, 'Al': 18.89, 'Si': 16.86, 'O': 49.61, 'B': 3.24, 'H': 0.4}","{'Al2O3': 35.71, 'MnO': 14.20, 'SiO2': 36.08, 'B2O3': 10.44, 'H2O': 3.58}"
darrelhenryite,Na(Al2Li)Al6(Si6O18)(BO3)3(OH)3O,tourmaline group,cyclosilicate,"[['Na', 1, 1], ['Li', 1, 1], ['Al', 8, 3], ['Si', 6, 4], ['O', 31, -2], ['B', 3, 3], ['H', 3, 1]]","{'Na': 2.43, 'Li': 0.73, 'Al': 22.82, 'Si': 17.82, 'O': 52.45, 'B': 3.43, 'H': 0.32}","{'Al2O3': 43.12, 'Na2O': 3.28, 'Li2O': 1.57, 'SiO2': 38.12, 'B2O3': 11.05, 'H2O': 2.86}"
feruvite,CaFe2+3(Al5Mg)(Si6O18)(BO3)3(OH)3(OH),tourmaline group,cyclosilicate,"[['Ca', 1, 2], ['Fe', 3, 2], ['Al', 5, 3], ['Mg', 1, 2], ['Si', 6, 4], ['O', 31, -2], ['B', 3, 3], ['H', 4, 1]]","{'Ca': 3.75, 'Fe': 15.69, 'Al': 12.63, 'Mg': 2.28, 'Si': 15.78, 'O': 46.45, 'B': 3.04, 'H': 0.38}","{'Al2O3': 23.86, 'CaO': 5.25 , 'MgO': 3.78, 'FeO': 20.18, 'SiO2': 33.75, 'B2O3': 9.79, 'H2O': 3.40}"
olenite,NaAl3Al6(Si6O18)(BO3)3O3(OH),tourmaline group,cyclosilicate,"[['Na', 1, 1], ['Al', 9, 3], ['Si', 6, 4], ['O', 31, -2], ['B', 3, 3], ['H', 1, 1]]","{'Na': 2.39, 'Al': 25.2, 'Si': 17.48, 'O': 51.46, 'B': 3.36, 'H': 0.1}","{'Al2O3': 47.64, 'Na2O': 3.22, 'SiO2': 37.42, 'B2O3': 10.83, 'H2O': 0.89}"
chamosite,Fe2+5Al(AlSi3)O10(OH)8,chlorite group,phyllosilicate,"[['Fe', 5, 2], ['Al', 2, 3], ['Si', 3, 4], ['O', 18, -2], ['H', 8, 1]]","{'Fe': 39.13, 'Al': 7.56, 'Si': 11.81, 'O': 40.36, 'H': 1.13}","{'Al2O3': 14.28, 'FeO': 50.37, 'SiO2': 25.26, 'H2O': 10.10}"
clinochlore,Mg5Al(AlSi3O10)(OH)8,chlorite group,phyllosilicate,"[['Mg', 5, 2], ['Al', 2, 3], ['Si', 3, 4], ['O', 18, -2], ['H', 8, 1]]","{'Mg': 21.86, 'Al': 9.71, 'Si': 15.16, 'O': 51.82, 'H': 1.45}","{'Al2O3': 18.34, 'MgO': 36.27, 'SiO2': 32.42, 'H2O': 12.96}"
kaolinite,Al2Si2O5(OH)4,kaolinite group,phyllosilicate,"[['Al', 2, 3], ['Si', 2, 4], ['O', 9, -2], ['H', 4, 1]]","{'Al': 20.9, 'Si': 21.76, 'O': 55.78, 'H': 1.56}","{'Al2O3': 39.50, 'SiO2': 46.55, 'H2O': 13.96}"
muscovite,KAl2(AlSi3O10)(OH)2,mica group,phyllosilicate,"[['K', 1, 1], ['Al', 3, 3], ['Si', 3, 4], ['O', 12, -2], ['H', 2, 1]]","{'K': 9.82, 'Al': 20.32, 'Si': 21.15, 'O': 48.2, 'H': 0.51}","{'Al2O3': 38.36, 'K2O': 11.81, 'SiO2': 45.21, 'H2O': 4.07}"
paragonite,NaAl2(AlSi3O10)(OH)2,mica group,phyllosilicate,"[['Na', 1, 1], ['Al', 3, 3], ['Si', 3, 4], ['O', 12, -2], ['H', 2, 1]]","{'Na': 6.02, 'Al': 21.18, 'Si': 22.04, 'O': 50.23, 'H': 0.53}","{'Al2O3': 40.02, 'Na2O': 8.11, 'SiO2': 47.16, 'H2O': 4.71}"
phlogopite,KMg3(AlSi3O10)(OH)2,mica group,phyllosilicate,"[['K', 1, 1], ['Mg', 3, 2], ['Al', 1, 3], ['Si', 3, 4], ['O', 12, -2], ['H', 2, 1]]","{'K': 9.37, 'Mg': 17.47, 'Al': 6.47, 'Si': 20.19, 'O': 46.01, 'H': 0.48}","{'Al2O3': 12.16, 'K2O': 11.23, 'MgO': 28.84, 'SiO2': 42.99, 'H2O': 4.77}"
celadonite,KMgFe3+Si4O10(OH)2,mica group,phyllosilicate,"[['K', 1, 1], ['Mg', 1, 2], ['Fe', 1, 3], ['Si', 4, 4], ['O', 12, -2], ['H', 2, 1]]","{'K': 9.19, 'Mg': 5.71, 'Fe': 13.12, 'Si': 26.4, 'O': 45.11, 'H': 0.47}","{'Fe2O3': 20.1, 'K2O': 10.98, 'MgO': 7.52, 'SiO2': 56.02, 'H2O': 4.20}"
ferroglauconite,KFe2Al(Si3O10)(OH)2,mica group,phyllosilicate,"[['K', 1, 1], ['Fe', 2, 3], ['Al', 1, 3], ['Si', 3, 4], ['O', 12, -2], ['H', 2, 1]]","{'K': 8.57, 'Fe': 24.49, 'Al': 5.92, 'Si': 18.48, 'O': 42.1, 'H': 0.44}","{'Fe2O3': 34.99, 'K2O': 10.33, 'Al2O3': 11.18, 'SiO2': 39.53, 'H2O': 3.93}"
lepidolite,"K(Li,Al)3(Si,Al)4O10(OH)2",mica group,phyllosilicate,"[['K', 1, 1], ['Li', 1.5, 1], ['Al', 2.5, 3], ['Si', 3, 4], ['O', 12, -2], ['H', 2, 1]]","{'K': 9.89, 'Li': 2.63, 'Al': 17.07, 'Si': 21.32, 'O': 48.58, 'H': 0.51}","{'Li2O': 5.66, 'K2O': 11.91, 'Al2O3':  32.25, 'SiO2': 45.58, 'H2O': 4.56}"
garmite,CsLiMg2(Si4O10)F2,mica group,phyllosilicate,"[['Cs', 1, 1], ['Li', 1, 1], ['Mg', 2, 2], ['Si', 4, 4], ['O', 10, -2], ['F', 2, 1]]","{'Cs': 26.65, 'Li': 1.39, 'Mg': 9.75, 'Si': 22.52, 'O': 32.08, 'F': 7.62}","{'Cs2O': 28.25, 'Li2O': 2.99, 'MgO': 16.17, 'SiO2': 48.18, 'F': 4.41}"
tainiolite,KLiMg2(Si4O10)F2,mica group,phyllosilicate,"[['K', 1, 1], ['Li', 1, 1], ['Mg', 2, 2], ['Si', 4, 4], ['O', 10, -2], ['F', 2, 1]]","{'K': 9.65, 'Li': 1.71, 'Mg': 12.0, 'Si': 27.74, 'O': 39.51, 'F': 9.38}","{'K2O': 11.62, 'Li2O': 3.68, 'MgO': 19.90, 'SiO2': 59.33, 'F': 5.47}"
annite,KFe2+3(AlSi3O10)(OH)2,mica group,phyllosilicate,"[['K', 1, 1], ['Fe', 3, 2], ['Al', 1, 3], ['Si', 3, 4], ['O', 12, -2], ['H', 2, 1]]","{'K': 7.64, 'Fe': 32.73, 'Al': 5.27, 'Si': 16.46, 'O': 37.51, 'H': 0.39}","{'FeO': 42.03, 'K2O': 9.18, 'Al2O3': 9.94, 'SiO2': 35.15, 'H2O': 2.63}"
aspidolite,NaMg3(AlSi3O10)(OH)2,mica group,phyllosilicate,"[['Na', 1, 1], ['Mg', 3, 2], ['Al', 1, 3], ['Si', 3, 4], ['O', 12, -2], ['H', 2, 1]]","{'Na': 5.73, 'Mg': 18.18, 'Al': 6.73, 'Si': 21.0, 'O': 47.86, 'H': 0.5}","{'Na2O': 7.72, 'MgO': 30.15, 'Al2O3': 12.71, 'SiO2': 44.92, 'H2O': 4.47}"
shirokshinite,K(NaMg2)(Si4O10)F2,mica group,phyllosilicate,"[['K', 1, 1], ['Na', 1, 1], ['Mg', 2, 2], ['Si', 4, 4], ['O', 10, -2], ['F', 2, 1]]","{'K': 9.29, 'Na': 5.46, 'Mg': 11.55, 'Si': 26.68, 'O': 38.0, 'F': 9.02}","{'Na2O': 7.36, 'K2O': 11.19, 'MgO': 19.15, 'SiO2': 57.08, 'F': 5.22}"
eastonite,KMg2Al(Al2Si2O10)(OH)2,mica group,phyllosilicate,"[['K', 1, 1], ['Mg', 2, 2], ['Al', 3, 3], ['Si', 2, 4], ['O', 12, -2], ['H', 2, 1]]","{'K': 9.33, 'Mg': 11.61, 'Al': 19.33, 'Si': 13.41, 'O': 45.84, 'H': 0.48}","{'MgO': 19.25, 'K2O': 11.25, 'Al2O3': 36.52, 'SiO2': 28.69, 'H2O': 4.30}"
margarite,CaAl2(Al2Si2O10)(OH)2,mica group,phyllosilicate,"[['Ca', 1, 2], ['Al', 4, 3], ['Si', 2, 4], ['O', 12, -2], ['H', 2, 1]]","{'Ca': 10.06, 'Al': 27.1, 'Si': 14.11, 'O': 48.22, 'H': 0.51}","{'CaO': 14.08, 'Al2O3': 51.21, 'SiO2': 30.18, 'H2O': 4.52}"
clintonite,CaAlMg2(SiAl3O10)(OH)2,mica group,phyllosilicate,"[['Ca', 1, 2], ['Al', 3.7, 3], ['Mg', 2.2, 2], ['Si', 1.3, 4], ['O', 12, -2], ['H', 2, 1]]","{'Ca': 9.64, 'Al': 22.06, 'Mg': 12.86, 'Si': 8.78, 'O': 46.17, 'H': 0.48}","{'CaO': 13.49, 'MgO': 21.32, 'Al2O3': 41.69, 'SiO2': 18.79, 'H2O': 4.33}"
talc,Mg3Si4O10(OH)2,nan,phyllosilicate,"[['Mg', 3, 2], ['Si', 4, 4], ['O', 12, -2], ['H', 2, 1]]","{'Mg': 19.23, 'Si': 29.62, 'O': 50.62, 'H': 0.53}","{'MgO': 31.88, 'SiO2': 63.37, 'H2O': 4.75}"
illite,K0.65Al2.0[Al0.65Si3.35O10](OH)2,nan,phyllosilicate,"[['K', 0.65, 1], ['Al', 2.65, 3], ['Si', 3.35, 2], ['O', 12, 4], ['H', 2, -2]]","{'K': 4.64, 'Al': 13.06, 'Mg': 14.88, 'Si': 61.57, 'O': 5.85}","{'K2O': 7.95, 'Al2O3': 35.08, 'SiO2': 52.30, 'H2O': 4.64}"
pyrophyllite,Al2Si4O10(OH)2,nan,phyllosilicate,"[['Al', 2, 3], ['Si', 4, 4], ['O', 12, -2], ['H', 2, 1]]","{'Al': 14.98, 'Si': 31.18, 'O': 53.29, 'H': 0.56}","{'Al2O3': 28.30, 'SiO2': 66.70, 'H2O': 5.00}"
